id,price,bedrooms,bathrooms,sqft.living
1,3.00E+05,6,3,2400
4,235000,3,1,1430
5,402500,4,2,1650
6,680000,4,2.75,2220
7,178000,5,1.5,1990
11,175000,2,1,840
22,872750,3,2.5,2870
23,843000,3,2.5,3130
34,130000,3,1,1100
37,205000,2,1.75,1740
39,219950,3,1.5,1070
42,218500,2,1,1600
43,250000,4,1,1320
47,490000,3,1.75,1470
50,1038000,5,2.75,3050
53,480000,5,2.25,2240
54,573300,2,1.75,1290
55,699950,3,3.25,2230
57,325000,2,1,1130
59,380000,5,2.5,2130
62,250000,2,1,1400
63,499950,4,2.5,2910
67,355000,2,1,1450
68,406500,3,1.5,1970
71,1505000,5,3,3300
74,350000,2,1.75,1430
77,363000,4,2.5,2180
79,248000,3,2.5,1870
80,311850,4,2.5,1890
83,611206,1,1,1940
91,315000,2,1,630
97,275000,4,1.75,1680
102,212000,3,1,1000
104,750000,4,1.5,2060
108,1425000,4,5,4630
109,1465000,4,4,4930
111,945000,5,3.5,4380
116,1098000,4,3.5,4570
121,759000,5,2.75,3490
123,720000,4,4,3200
126,889000,4,3.5,4070
128,797000,3,3.5,3500
132,815000,4,2.5,3880
133,1459000,4,4,4620
141,237500,3,1.75,1050
144,115000,3,1.75,1080
146,230000,3,2.25,1500
155,270000,4,2.5,1750
156,259950,4,2,1610
171,305000,3,1.75,1460
172,299000,4,2.5,2300
177,278000,5,1.5,1820
178,146000,2,1,780
181,559950,5,3.5,2450
183,402500,3,2.25,2160
186,285000,3,1.5,1480
191,250000,3,1.5,1170
195,325000,4,1.75,1370
196,630000,5,3.5,4060
202,680000,3,1.75,1660
203,250000,3,1.75,1628
208,425000,3,2.75,3610
209,629000,3,1.75,1460
210,249000,3,1,1030
212,397900,3,2.75,2500
214,490000,3,1.75,2020
218,464950,3,2,2190
222,425000,4,2.5,1920
225,335000,3,1.75,1260
228,309000,3,1,1300
234,540000,3,2.5,1970
235,530000,3,2.25,2190
236,471000,4,2.25,3410
252,417500,5,1.75,2060
253,525000,4,2.75,2300
255,7.00E+05,4,2.5,3040
256,475000,4,2.25,1800
262,547000,5,3,2200
263,395000,4,2.25,1780
264,799000,4,2.5,3170
265,2.00E+05,4,1,1020
270,377000,4,1.75,1800
277,593000,2,2.5,2000
278,8.00E+05,3,2.5,2100
289,9.00E+05,4,3.5,3070
290,856000,3,2.5,2160
300,799000,4,1.5,1810
302,752500,5,2.75,2720
307,290500,4,2.5,1680
311,135000,3,1,840
315,287500,5,2,2020
316,212000,4,2,1880
319,1060000,4,2.5,2250
321,750000,4,2.25,2160
323,1575000,4,3.25,3410
326,630000,2,1,1050
333,335000,3,1.5,1140
337,269900,3,1.75,1140
339,312000,3,2.5,2070
343,745000,4,2.75,2410
345,505000,2,1,1000
350,575000,3,2.5,1960
364,1078000,4,2.75,3160
372,595000,3,2.75,2150
373,620000,4,2.5,2690
375,685530,4,2.5,3130
381,403000,3,1,1500
385,628990,4,2.5,2540
392,555000,5,2.5,2450
393,760000,4,2.5,2430
394,259000,3,2.5,2740
396,394999,3,1.5,1730
397,450000,4,2.25,2040
401,599950,3,2.5,1970
402,4.00E+05,3,2.5,2090
403,329500,3,2.5,2120
405,535000,2,1.75,1780
406,665000,3,3.5,3580
411,1050000,3,3,3250
417,475000,3,1,1250
420,650100,2,1,1750
422,5.00E+05,3,1,1440
423,735000,3,1.75,1880
424,650000,3,1.75,1970
427,525000,3,1.5,1940
437,937500,4,4,5545
445,750000,4,2.75,3210
447,375000,2,1,1840
450,489500,3,1.75,2090
451,615000,3,1.75,2110
454,170000,1,0.75,850
456,239975,3,2.5,1820
463,535000,2,1.75,2330
464,707000,5,4.5,3540
465,322000,4,2.25,1940
466,469000,4,2.75,3550
468,530000,4,4.5,4060
471,370000,5,2.5,2740
474,365000,3,1.75,2080
485,358000,3,2.25,2510
489,1580000,4,2.75,3480
492,3.00E+05,3,2,1470
496,427500,4,2.5,2010
501,540000,3,2.5,2220
502,480000,6,3.75,2940
504,410000,3,1,1190
509,318200,3,2.5,1990
522,398096,3,2.5,2370
523,388598,3,2.5,2370
524,619990,4,2.75,2630
527,624000,5,3.75,3570
533,350000,3,2.5,1970
539,280000,2,1,850
548,458500,3,1.75,1250
549,345000,3,1,1250
550,4.00E+05,4,2,1420
551,465000,4,2,1470
552,505000,3,2.25,1460
555,565000,4,2,1950
559,485000,3,1,1250
561,517000,4,1,1650
564,575000,4,2.5,2280
567,455000,3,1.5,1250
568,526000,4,2,1610
571,748000,4,3.5,2770
574,375000,3,2.5,1440
580,380000,3,2.25,1550
586,4.00E+05,3,2.5,1460
595,608000,4,3,2400
601,1300000,5,3.75,4450
603,775000,4,1.75,2320
605,751000,6,3,2880
611,826000,3,3.25,2330
615,355000,5,2.75,2530
616,329500,5,1.75,3290
618,685000,4,2.25,3133
619,1410000,2,2,2180
624,550000,3,1,1260
629,310000,2,2.5,1090
630,4.00E+05,3,2.5,1600
641,415000,3,2.25,1445
642,895000,5,2.5,2350
643,495000,4,2,1610
647,370000,2,1,910
652,949990,4,4,3970
654,637000,4,2.75,2900
655,6.00E+05,4,2.75,2950
656,9.00E+05,4,2.5,3510
657,797500,4,2.5,3270
666,590000,4,2.5,2940
668,949000,4,3,4270
672,495500,3,2.5,3190
679,260000,3,2.25,1489
681,265000,3,2.25,1489
689,250000,3,2.25,1481
690,223990,2,2.25,1061
691,184000,3,1,970
692,250000,3,2,1050
693,359000,4,2.25,2710
694,375000,4,2,2270
697,425000,3,2.75,3370
704,630000,4,2.5,2540
707,365000,3,2.5,2200
710,375000,2,1,790
711,4.00E+05,2,1,920
712,235000,4,1,1360
714,219000,4,1,1370
719,495000,4,2.5,2370
725,358000,3,2.5,2026
731,365000,3,1.75,1450
732,430000,3,1.5,1810
738,425000,3,2.5,2650
740,355000,4,2.5,1780
741,362500,3,2,1940
742,435000,3,2,2570
744,411000,2,2.25,1910
745,462000,4,2.5,2640
750,425000,3,2.5,1230
751,343000,3,1,1410
754,535000,5,2.5,3190
758,850000,4,3.75,3890
760,1800000,4,3.5,6370
761,240000,2,1,1120
763,850000,3,2,2740
769,675000,3,1.5,1710
770,667500,4,3,1920
772,459000,3,1,1320
773,430000,4,1.5,1560
774,675500,4,2.75,2060
781,565000,4,1,2170
787,603000,4,2.25,2370
788,520000,4,2.75,2700
789,464500,5,1.5,2940
793,9.00E+05,4,3,3810
794,692500,3,2.5,2420
799,643000,3,1.5,1780
800,840000,4,2.5,3450
803,1150000,4,2.5,2330
805,613500,3,3.25,1876
806,690000,3,1.75,2330
810,566000,3,2.5,2090
811,675000,3,2.75,2740
818,379950,3,2,1080
829,1900000,4,2.5,3070
830,520000,3,1,940
833,510000,1,1,680
843,535000,4,2.5,2240
844,325000,3,1,1040
847,286300,3,2.75,2000
852,246600,4,1,1340
855,265000,3,1,1360
860,190000,2,1,700
870,336000,2,1,1180
875,350000,3,1,1050
876,227450,2,1,660
877,213800,2,1,740
880,191000,2,1,700
886,208000,2,1,700
887,268000,4,1.5,1730
888,225000,3,1,960
889,253200,3,1,1360
894,216000,3,1,1280
898,337000,3,2.5,2235
899,325000,3,2.25,1480
903,147200,3,1,1420
905,276500,4,2.25,2380
907,160000,2,1,930
908,365000,3,2,2030
911,322500,3,2,1190
920,345000,2,1.5,830
923,449228,5,2.5,3020
929,584999,4,2.75,2050
930,607500,4,2.5,2460
931,835000,4,2.5,2950
933,785000,4,2.75,2440
937,1180000,6,6.5,6260
938,250000,3,1.75,1200
943,649000,2,1,1280
946,675000,5,2,2420
951,894400,3,2.5,3100
953,610000,4,2.25,2240
954,499950,3,2.5,3230
964,815000,3,2.5,2790
965,537500,5,2.5,4340
966,322500,3,1,1020
977,564500,4,2.25,1950
978,805000,4,2.25,2440
980,653000,2,1.5,1290
983,515000,2,1,1150
984,625000,3,1.75,1840
988,480000,3,1,1100
994,576250,2,1.75,1530
995,503000,3,2,1260
996,730000,3,1.75,1650
997,452000,2,1,980
998,1070000,4,2.5,2740
1001,685000,3,2,2500
1004,525000,4,2,1540
1007,605000,2,1.75,1760
1008,501000,2,2,1300
1010,725000,4,1.75,2000
1018,563000,3,2,1380
1019,717000,3,1,1150
1021,519000,3,1.75,2000
1033,452950,3,2.5,1150
1034,465000,3,2.25,1450
1039,670000,3,1.75,1730
1043,445000,2,2.25,1200
1049,491000,3,2,1250
1058,279950,4,2.75,2420
